date,DC
1/1/2012,19
1/2/2012,11
1/3/2012,18
1/4/2012,24
1/5/2012,20
1/6/2012,24
1/7/2012,6
1/8/2012,6
1/9/2012,12
1/10/2012,14
1/11/2012,18
1/12/2012,17
1/13/2012,16
1/14/2012,13
1/15/2012,31
1/16/2012,9
1/17/2012,24
1/18/2012,12
1/19/2012,11
1/20/2012,6
1/21/2012,10
1/22/2012,12
1/23/2012,24
1/24/2012,9
1/25/2012,22
1/26/2012,11
1/27/2012,17
1/28/2012,11
1/29/2012,5
1/30/2012,26
1/31/2012,20
2/1/2012,9
2/2/2012,29
2/3/2012,7
2/4/2012,5
2/5/2012,7
2/6/2012,33
2/7/2012,8
2/8/2012,10
2/9/2012,19
2/10/2012,13
2/11/2012,9
2/12/2012,5
2/13/2012,22
2/14/2012,10
2/15/2012,14
2/16/2012,16
2/17/2012,6
2/18/2012,3
2/19/2012,17
2/20/2012,26
2/21/2012,10
2/22/2012,18
2/23/2012,12
2/24/2012,8
2/25/2012,6
2/26/2012,6
2/27/2012,12
2/28/2012,17
2/29/2012,12
3/1/2012,13
3/2/2012,7
3/3/2012,5
3/4/2012,9
3/5/2012,29
3/6/2012,19
3/7/2012,40
3/8/2012,34
3/9/2012,11
3/10/2012,13
3/11/2012,8
3/12/2012,20
3/13/2012,9
3/14/2012,13
3/15/2012,11
3/16/2012,14
3/17/2012,4
3/18/2012,8
3/19/2012,3
3/20/2012,10
3/21/2012,10
3/22/2012,13
3/23/2012,7
3/24/2012,14
3/25/2012,4
3/26/2012,18
3/27/2012,6
3/28/2012,12
3/29/2012,17
3/30/2012,4
3/31/2012,6
4/1/2012,5
4/2/2012,8
4/3/2012,8
4/4/2012,16
4/5/2012,8
4/6/2012,23
4/7/2012,1
4/8/2012,8
4/9/2012,13
4/10/2012,12
4/11/2012,21
4/12/2012,6
4/13/2012,17
4/14/2012,8
4/15/2012,6
4/16/2012,17
4/17/2012,11
4/18/2012,21
4/19/2012,16
4/20/2012,15
4/21/2012,10
4/22/2012,9
4/23/2012,11
4/24/2012,12
4/25/2012,13
4/26/2012,13
4/27/2012,8
4/28/2012,7
4/29/2012,7
4/30/2012,12
5/1/2012,10
5/2/2012,9
5/3/2012,6
5/4/2012,8
5/5/2012,10
5/6/2012,8
5/7/2012,27
5/8/2012,8
5/9/2012,9
5/10/2012,12
5/11/2012,9
5/12/2012,9
5/13/2012,4
5/14/2012,13
5/15/2012,10
5/16/2012,10
5/17/2012,13
5/18/2012,25
5/19/2012,8
5/20/2012,10
5/21/2012,23
5/22/2012,24
5/23/2012,8
5/24/2012,5
5/25/2012,20
5/26/2012,8
5/27/2012,3
5/28/2012,10
5/29/2012,6
5/30/2012,3
5/31/2012,16
6/1/2012,8
6/2/2012,5
6/3/2012,11
6/4/2012,7
6/5/2012,12
6/6/2012,4
6/7/2012,13
6/8/2012,4
6/9/2012,2
6/10/2012,2
6/11/2012,4
6/12/2012,6
6/13/2012,4
6/14/2012,8
6/15/2012,1
6/17/2012,4
6/18/2012,5
6/19/2012,5
6/20/2012,6
6/21/2012,4
6/22/2012,7
6/23/2012,4
6/24/2012,1
6/25/2012,10
6/26/2012,17
6/27/2012,7
6/28/2012,2
6/29/2012,8
6/30/2012,4
7/1/2012,4
7/2/2012,10
7/4/2012,4
7/5/2012,6
7/6/2012,4
7/7/2012,4
7/16/2012,13
7/17/2012,7
7/18/2012,3
7/19/2012,9
7/20/2012,3
7/21/2012,4
7/22/2012,5
7/23/2012,1
7/24/2012,12
7/25/2012,6
7/27/2012,8
7/28/2012,3
7/29/2012,1
7/30/2012,2
7/31/2012,6
8/1/2012,12
8/2/2012,12
8/3/2012,8
8/4/2012,2
8/5/2012,4
8/6/2012,32
8/7/2012,31
8/8/2012,1
8/9/2012,14
8/10/2012,9
8/11/2012,2
8/12/2012,8
8/13/2012,22
8/14/2012,21
8/15/2012,11
8/16/2012,14
8/17/2012,19
8/18/2012,10
8/19/2012,9
8/20/2012,9
8/21/2012,13
8/22/2012,13
8/23/2012,13
8/24/2012,12
8/26/2012,1
8/27/2012,2
8/28/2012,11
8/29/2012,13
8/30/2012,6
8/31/2012,4
9/1/2012,4
9/2/2012,11
9/3/2012,5
9/4/2012,6
9/5/2012,12
9/6/2012,6
9/7/2012,19
9/8/2012,5
9/9/2012,3
9/10/2012,9
9/11/2012,9
9/12/2012,1
9/13/2012,8
9/14/2012,6
9/15/2012,3
9/16/2012,1
9/17/2012,17
9/18/2012,43
9/19/2012,21
9/20/2012,15
9/21/2012,3
9/22/2012,3
9/23/2012,14
9/24/2012,6
9/25/2012,13
9/26/2012,19
9/27/2012,18
9/28/2012,12
9/29/2012,14
10/1/2012,16
10/2/2012,18
10/3/2012,15
10/4/2012,13
10/5/2012,12
10/6/2012,7
10/7/2012,2
10/8/2012,8
10/9/2012,14
10/10/2012,11
10/11/2012,22
10/12/2012,26
10/13/2012,11
10/14/2012,8
10/15/2012,19
10/16/2012,18
10/17/2012,18
10/18/2012,22
10/19/2012,29
10/20/2012,3
10/21/2012,7
10/22/2012,35
10/23/2012,23
10/24/2012,18
10/25/2012,37
10/26/2012,19
10/27/2012,2
10/28/2012,6
10/29/2012,5
10/30/2012,12
10/31/2012,19
11/1/2012,15
11/2/2012,24
11/3/2012,8
11/4/2012,2
11/5/2012,15
11/6/2012,20
11/7/2012,8
11/8/2012,21
11/9/2012,21
11/10/2012,12
11/11/2012,9
11/12/2012,54
11/13/2012,23
11/14/2012,32
11/15/2012,21
11/16/2012,18
11/17/2012,11
11/18/2012,6
11/19/2012,26
11/20/2012,23
11/21/2012,33
11/22/2012,3
11/23/2012,7
11/24/2012,9
11/25/2012,19
11/26/2012,40
11/27/2012,44
11/28/2012,18
11/29/2012,17
11/30/2012,13
12/1/2012,6
12/2/2012,24
12/3/2012,51
12/4/2012,41
12/5/2012,70
12/6/2012,41
12/7/2012,31
12/8/2012,13
12/9/2012,35
12/10/2012,36
12/11/2012,44
12/12/2012,34
12/13/2012,53
12/14/2012,47
12/15/2012,33
12/16/2012,15
12/17/2012,65
12/18/2012,74
12/19/2012,49
12/20/2012,26
12/21/2012,33
12/22/2012,37
12/23/2012,20
12/24/2012,13
12/25/2012,23
12/26/2012,49
12/27/2012,59
12/28/2012,84
12/29/2012,62
12/30/2012,66
12/31/2012,71
1/1/2013,60
1/2/2013,62
1/3/2013,90
1/4/2013,128
1/5/2013,69
1/6/2013,113
1/7/2013,144
1/8/2013,210
1/9/2013,242
1/10/2013,550
1/11/2013,303
1/12/2013,114
1/13/2013,132
1/14/2013,245
1/15/2013,249
1/16/2013,187
1/17/2013,122
1/18/2013,99
1/19/2013,63
1/20/2013,73
1/21/2013,74
1/22/2013,136
1/23/2013,101
1/24/2013,74
1/25/2013,69
1/26/2013,31
1/27/2013,34
1/28/2013,65
1/29/2013,67
1/30/2013,45
1/31/2013,46
2/1/2013,50
2/2/2013,32
2/3/2013,29
2/4/2013,67
2/5/2013,49
2/6/2013,43
2/7/2013,43
2/8/2013,31
2/9/2013,9
2/10/2013,16
2/11/2013,55
2/12/2013,39
2/13/2013,34
2/14/2013,34
2/15/2013,49
2/16/2013,18
2/17/2013,24
2/18/2013,20
2/19/2013,34
2/20/2013,43
2/21/2013,41
2/22/2013,29
2/23/2013,8
2/24/2013,22
2/25/2013,39
2/26/2013,28
2/27/2013,23
2/28/2013,24
3/1/2013,14
3/2/2013,28
3/3/2013,11
3/4/2013,40
3/5/2013,30
3/6/2013,31
3/7/2013,36
3/8/2013,45
3/9/2013,19
3/10/2013,15
3/11/2013,10
3/12/2013,42
3/13/2013,46
3/14/2013,36
3/15/2013,12
3/16/2013,4
3/17/2013,16
3/18/2013,44
3/19/2013,26
3/20/2013,14
3/21/2013,18
3/22/2013,21
3/23/2013,12
3/24/2013,3
3/25/2013,30
3/26/2013,24
3/27/2013,34
3/28/2013,20
3/29/2013,20
3/30/2013,16
3/31/2013,9
4/1/2013,7
4/2/2013,28
4/3/2013,10
4/4/2013,28
4/5/2013,12
4/6/2013,11
4/7/2013,8
4/8/2013,10
4/9/2013,19
4/10/2013,21
4/11/2013,12
4/12/2013,14
4/13/2013,8
4/14/2013,2
4/15/2013,13
4/16/2013,12
4/17/2013,9
4/18/2013,12
4/19/2013,2
4/20/2013,6
4/21/2013,7
4/22/2013,12
4/23/2013,20
4/24/2013,14
4/25/2013,10
4/26/2013,5
4/27/2013,3
4/28/2013,5
4/29/2013,7
4/30/2013,18
5/1/2013,12
5/2/2013,14
5/3/2013,6
5/4/2013,5
5/5/2013,1
5/6/2013,12
5/7/2013,15
5/8/2013,8
5/9/2013,10
5/10/2013,6
5/11/2013,9
5/12/2013,11
5/14/2013,3
5/15/2013,8
5/16/2013,6
5/18/2013,6
5/19/2013,4
5/20/2013,10
5/21/2013,3
5/22/2013,21
5/23/2013,25
5/24/2013,6
5/25/2013,1
5/26/2013,8
5/27/2013,3
5/28/2013,2
5/29/2013,28
5/30/2013,6
5/31/2013,13
6/1/2013,7
6/2/2013,6
6/3/2013,6
6/4/2013,5
