Week,Week Ending,State,Season,Total,Positive,Visits,Hospitalizations
1,1/7/2012,DC,2011-2012,94.5,0,94.5,N/A
2,1/14/2012,DC,2011-2012,N/A,N/A,N/A,N/A
3,1/21/2012,DC,2011-2012,N/A,N/A,N/A,N/A
4,1/28/2012,DC,2011-2012,92.5,0,92.5,N/A
5,2/4/2012,DC,2011-2012,92.5,0,92.5,N/A
6,2/11/2012,DC,2011-2012,N/A,N/A,N/A,N/A
7,2/18/2012,DC,2011-2012,N/A,N/A,N/A,N/A
8,2/25/2012,DC,2011-2012,N/A,N/A,N/A,N/A
9,3/3/2012,DC,2011-2012,N/A,N/A,N/A,N/A
10,3/10/2012,DC,2011-2012,80,8.5,71.5,N/A
11,3/17/2012,DC,2011-2012,80,8.5,71.5,N/A
12,3/24/2012,DC,2011-2012,72.5,6,66.5,N/A
13,3/31/2012,DC,2011-2012,72.5,6,66.5,N/A
14,4/7/2012,DC,2011-2012,66.5,9.5,57,N/A
15,4/14/2012,DC,2011-2012,66.5,9.5,57,N/A
16,4/21/2012,DC,2011-2012,N/A,N/A,N/A,N/A
17,4/28/2012,DC,2011-2012,N/A,N/A,N/A,N/A
18,5/5/2012,DC,2011-2012,54.5,4,50.5,N/A
19,5/12/2012,DC,2011-2012,54.5,4,50.5,N/A
20,5/19/2012,DC,2011-2012,55,2.5,52.5,N/A
21,5/26/2012,DC,2011-2012,55,2.5,52.5,N/A
40,10/6/2012,DC,2012-2013,N/A,N/A,N/A,N/A
41,10/13/2012,DC,2012-2013,N/A,N/A,N/A,N/A
42,10/20/2012,DC,2012-2013,N/A,N/A,N/A,N/A
43,10/27/2012,DC,2012-2013,N/A,N/A,N/A,N/A
44,11/3/2012,DC,2012-2013,N/A,N/A,N/A,N/A
45,11/10/2012,DC,2012-2013,N/A,N/A,N/A,N/A
46,11/17/2012,DC,2012-2013,N/A,N/A,N/A,N/A
47,11/24/2012,DC,2012-2013,N/A,N/A,N/A,N/A
