date,DE
1/2/2012,1
1/3/2012,4
1/4/2012,1
1/5/2012,2
1/6/2012,1
1/7/2012,2
1/8/2012,2
1/9/2012,3
1/10/2012,3
1/11/2012,6
1/13/2012,3
1/16/2012,3
1/17/2012,2
1/19/2012,2
1/20/2012,3
1/21/2012,2
1/22/2012,4
1/23/2012,4
1/24/2012,3
1/25/2012,4
1/26/2012,3
1/27/2012,1
1/29/2012,1
1/30/2012,5
1/31/2012,5
2/2/2012,2
2/3/2012,1
2/4/2012,1
2/6/2012,2
2/9/2012,2
2/10/2012,2
2/14/2012,1
2/15/2012,4
2/16/2012,1
2/17/2012,7
2/18/2012,2
2/21/2012,3
2/22/2012,6
2/23/2012,6
2/24/2012,5
2/25/2012,3
2/26/2012,1
2/27/2012,6
2/28/2012,4
3/1/2012,3
3/2/2012,2
3/3/2012,1
3/4/2012,2
3/6/2012,4
3/7/2012,2
3/8/2012,1
3/9/2012,2
3/14/2012,1
3/15/2012,3
3/17/2012,1
3/19/2012,2
3/22/2012,2
3/24/2012,2
3/25/2012,2
3/27/2012,3
3/28/2012,6
3/29/2012,1
4/4/2012,1
4/5/2012,2
4/6/2012,4
4/7/2012,4
4/9/2012,4
4/12/2012,3
4/13/2012,1
4/17/2012,3
4/19/2012,2
4/23/2012,2
4/30/2012,2
5/3/2012,7
5/8/2012,1
5/9/2012,2
5/11/2012,1
5/12/2012,1
5/16/2012,3
5/19/2012,2
5/20/2012,1
5/23/2012,1
5/24/2012,7
5/28/2012,4
6/4/2012,1
6/5/2012,1
6/7/2012,2
6/11/2012,1
6/12/2012,10
6/16/2012,1
6/18/2012,3
6/19/2012,1
6/21/2012,2
6/22/2012,2
6/24/2012,2
6/26/2012,1
6/29/2012,4
7/17/2012,5
7/18/2012,1
7/22/2012,2
7/23/2012,4
7/26/2012,2
7/30/2012,1
8/1/2012,1
8/2/2012,8
8/6/2012,11
8/7/2012,10
8/9/2012,6
8/13/2012,1
8/15/2012,1
8/21/2012,4
8/22/2012,2
8/23/2012,1
8/24/2012,4
8/27/2012,3
8/28/2012,1
8/30/2012,2
8/31/2012,1
9/1/2012,2
9/5/2012,2
9/7/2012,1
9/11/2012,2
9/14/2012,4
9/16/2012,4
9/17/2012,1
9/18/2012,4
9/20/2012,1
9/21/2012,2
