date,NM
1/1/2012,2
1/2/2012,1
1/3/2012,2
1/4/2012,7
1/5/2012,8
1/6/2012,13
1/7/2012,4
1/8/2012,1
1/9/2012,6
1/10/2012,8
1/11/2012,9
1/12/2012,7
1/13/2012,7
1/16/2012,8
1/17/2012,9
1/18/2012,16
1/19/2012,7
1/20/2012,4
1/21/2012,5
1/23/2012,12
1/24/2012,10
1/25/2012,5
1/26/2012,4
1/27/2012,6
1/28/2012,3
1/29/2012,2
1/30/2012,11
1/31/2012,5
2/1/2012,5
2/2/2012,3
2/3/2012,3
2/4/2012,6
2/5/2012,6
2/6/2012,9
2/7/2012,7
2/8/2012,6
2/9/2012,5
2/10/2012,6
2/11/2012,1
2/12/2012,6
2/13/2012,3
2/14/2012,2
2/15/2012,5
2/16/2012,13
2/17/2012,8
2/18/2012,5
2/19/2012,6
2/20/2012,15
2/21/2012,13
2/22/2012,6
2/23/2012,21
2/24/2012,5
2/25/2012,6
2/27/2012,8
2/28/2012,18
2/29/2012,5
3/1/2012,6
3/2/2012,8
3/3/2012,4
3/4/2012,8
3/5/2012,20
3/6/2012,8
3/7/2012,2
3/8/2012,20
3/9/2012,13
3/10/2012,2
3/11/2012,5
3/12/2012,12
3/13/2012,8
3/14/2012,10
3/15/2012,16
3/16/2012,6
3/17/2012,7
3/18/2012,10
3/19/2012,7
3/20/2012,4
3/21/2012,8
3/22/2012,16
3/23/2012,9
3/24/2012,1
3/25/2012,12
3/26/2012,9
3/27/2012,2
3/28/2012,15
3/29/2012,10
3/30/2012,6
3/31/2012,2
4/1/2012,5
4/2/2012,11
4/3/2012,10
4/4/2012,4
4/5/2012,1
4/6/2012,7
4/7/2012,4
4/8/2012,3
4/9/2012,16
4/10/2012,16
4/11/2012,21
4/12/2012,16
4/13/2012,7
4/14/2012,3
4/15/2012,10
4/16/2012,15
4/17/2012,5
4/18/2012,6
4/19/2012,12
4/20/2012,4
4/21/2012,2
4/23/2012,4
4/24/2012,11
4/25/2012,5
4/26/2012,3
4/28/2012,17
4/29/2012,2
4/30/2012,5
5/1/2012,3
5/2/2012,3
5/3/2012,9
5/4/2012,13
5/6/2012,3
5/7/2012,7
5/8/2012,11
5/9/2012,1
5/10/2012,7
5/12/2012,1
5/13/2012,1
5/14/2012,8
5/15/2012,4
5/16/2012,7
5/17/2012,2
5/18/2012,5
5/22/2012,1
5/24/2012,2
5/28/2012,1
5/29/2012,3
5/30/2012,10
5/31/2012,3
6/2/2012,4
6/3/2012,2
6/4/2012,2
6/5/2012,1
6/6/2012,5
6/7/2012,3
6/8/2012,2
6/9/2012,8
6/10/2012,4
6/12/2012,2
6/13/2012,7
6/14/2012,1
6/15/2012,1
6/16/2012,3
6/17/2012,1
6/19/2012,1
6/20/2012,2
6/21/2012,9
6/22/2012,12
6/23/2012,2
6/24/2012,3
6/25/2012,4
6/26/2012,6
6/27/2012,1
6/28/2012,2
6/29/2012,3
7/1/2012,1
7/3/2012,2
7/5/2012,2
7/6/2012,1
7/7/2012,2
7/19/2012,2
7/23/2012,1
7/24/2012,1
7/27/2012,3
7/29/2012,1
7/31/2012,1
8/2/2012,1
8/3/2012,4
8/4/2012,5
8/5/2012,1
8/6/2012,25
8/7/2012,13
8/8/2012,7
8/9/2012,2
8/10/2012,2
8/13/2012,5
8/14/2012,7
8/15/2012,2
8/16/2012,12
8/17/2012,1
8/18/2012,1
8/19/2012,1
8/20/2012,1
8/21/2012,6
8/22/2012,1
8/23/2012,10
8/24/2012,3
8/25/2012,2
8/26/2012,16
8/28/2012,4
8/29/2012,1
8/30/2012,4
8/31/2012,6
9/3/2012,8
9/5/2012,10
9/6/2012,3
9/7/2012,6
9/8/2012,5
9/9/2012,2
9/10/2012,3
9/11/2012,10
9/12/2012,4
9/13/2012,4
9/15/2012,7
9/16/2012,16
9/17/2012,15
9/18/2012,4
9/19/2012,5
9/20/2012,4
9/21/2012,9
9/22/2012,6
9/23/2012,2
9/24/2012,6
9/25/2012,7
9/26/2012,4
9/27/2012,11
9/28/2012,7
9/29/2012,8
10/2/2012,9
10/3/2012,8
10/4/2012,14
10/5/2012,19
10/6/2012,3
10/7/2012,3
10/8/2012,23
10/9/2012,10
10/10/2012,3
10/11/2012,9
10/12/2012,6
10/13/2012,8
10/14/2012,3
10/15/2012,8
10/16/2012,14
10/17/2012,14
10/18/2012,16
10/19/2012,23
10/20/2012,4
10/21/2012,1
10/22/2012,1
10/23/2012,4
10/24/2012,11
10/25/2012,1
10/27/2012,21
10/28/2012,18
10/29/2012,10
10/30/2012,18
10/31/2012,24
11/1/2012,4
11/2/2012,4
11/3/2012,3
11/4/2012,7
11/5/2012,12
11/6/2012,11
11/7/2012,11
11/8/2012,13
11/9/2012,7
11/10/2012,6
11/11/2012,12
11/12/2012,25
11/13/2012,16
11/14/2012,12
11/15/2012,9
11/16/2012,6
11/18/2012,6
11/19/2012,5
11/20/2012,9
11/21/2012,5
11/22/2012,2
11/23/2012,10
11/25/2012,9
11/26/2012,11
11/27/2012,20
11/28/2012,15
11/29/2012,17
11/30/2012,13
12/1/2012,6
12/2/2012,7
12/3/2012,16
12/4/2012,18
12/5/2012,24
12/6/2012,17
12/7/2012,8
12/8/2012,13
12/9/2012,8
12/10/2012,17
12/11/2012,32
12/12/2012,20
12/13/2012,11
12/14/2012,16
12/15/2012,2
12/16/2012,16
12/17/2012,18
12/18/2012,19
12/19/2012,13
12/20/2012,14
12/21/2012,21
12/22/2012,21
12/23/2012,9
12/24/2012,21
12/25/2012,5
12/26/2012,9
12/27/2012,13
12/28/2012,33
12/29/2012,5
12/30/2012,7
12/31/2012,27
1/1/2013,3
1/2/2013,24
1/3/2013,11
1/4/2013,55
1/5/2013,17
1/6/2013,45
1/7/2013,64
1/8/2013,65
1/9/2013,79
1/10/2013,238
1/11/2013,90
1/12/2013,32
1/13/2013,31
1/14/2013,83
1/15/2013,62
1/16/2013,57
1/17/2013,60
1/18/2013,63
1/19/2013,30
1/20/2013,19
1/21/2013,15
1/22/2013,56
