date,NY
1/1/2012,29
1/2/2012,51
1/3/2012,110
1/4/2012,102
1/5/2012,91
1/6/2012,69
1/7/2012,33
1/8/2012,63
1/9/2012,107
1/10/2012,94
1/11/2012,105
1/12/2012,88
1/13/2012,60
1/14/2012,55
1/15/2012,41
1/16/2012,65
1/17/2012,77
1/18/2012,75
1/19/2012,65
1/20/2012,74
1/21/2012,55
1/22/2012,65
1/23/2012,80
1/24/2012,66
1/25/2012,89
1/26/2012,74
1/27/2012,62
1/28/2012,51
1/29/2012,51
1/30/2012,64
1/31/2012,97
2/1/2012,106
2/2/2012,71
2/3/2012,77
2/4/2012,31
2/5/2012,34
2/6/2012,70
2/7/2012,79
2/8/2012,155
2/9/2012,81
2/10/2012,63
2/11/2012,53
2/12/2012,71
2/13/2012,65
2/14/2012,91
2/15/2012,93
2/16/2012,89
2/17/2012,63
2/18/2012,43
2/19/2012,49
2/20/2012,72
2/21/2012,70
2/22/2012,90
2/23/2012,79
2/24/2012,71
2/25/2012,42
2/26/2012,40
2/27/2012,76
2/28/2012,76
2/29/2012,111
3/1/2012,90
3/2/2012,75
3/3/2012,47
3/4/2012,49
3/5/2012,78
3/6/2012,92
3/7/2012,77
3/8/2012,81
3/9/2012,94
3/10/2012,53
3/11/2012,41
3/12/2012,85
3/13/2012,100
3/14/2012,70
3/15/2012,64
3/16/2012,64
3/17/2012,31
3/18/2012,42
3/19/2012,68
3/20/2012,90
3/21/2012,61
3/22/2012,73
3/23/2012,48
3/24/2012,52
3/25/2012,38
3/26/2012,69
3/27/2012,85
3/28/2012,69
3/29/2012,59
3/30/2012,46
3/31/2012,39
4/1/2012,40
4/2/2012,66
4/3/2012,52
4/4/2012,64
4/5/2012,58
4/6/2012,43
4/7/2012,21
4/8/2012,35
4/9/2012,78
4/10/2012,54
4/11/2012,78
4/12/2012,45
4/13/2012,48
4/14/2012,35
4/15/2012,24
4/16/2012,75
4/17/2012,42
4/18/2012,56
4/19/2012,57
4/20/2012,54
4/21/2012,32
4/22/2012,23
4/23/2012,58
4/24/2012,60
4/25/2012,65
4/26/2012,48
4/27/2012,31
4/28/2012,20
4/29/2012,46
4/30/2012,62
5/1/2012,56
5/2/2012,71
5/3/2012,53
5/4/2012,48
5/5/2012,29
5/6/2012,41
5/7/2012,50
5/8/2012,68
5/9/2012,67
5/10/2012,61
5/11/2012,44
5/12/2012,25
5/13/2012,21
5/14/2012,59
5/15/2012,50
5/16/2012,57
5/17/2012,36
5/18/2012,23
5/19/2012,33
5/20/2012,23
5/21/2012,44
5/22/2012,49
5/23/2012,50
5/24/2012,40
5/25/2012,31
5/26/2012,13
5/27/2012,9
5/28/2012,20
5/29/2012,41
5/30/2012,45
5/31/2012,53
6/1/2012,18
6/2/2012,16
6/3/2012,17
6/4/2012,38
6/5/2012,31
6/6/2012,49
6/7/2012,31
6/8/2012,19
6/9/2012,15
6/10/2012,8
6/11/2012,37
6/12/2012,34
6/13/2012,36
6/14/2012,24
6/15/2012,18
6/16/2012,15
6/17/2012,12
6/18/2012,32
6/19/2012,31
6/20/2012,30
6/21/2012,18
6/22/2012,39
6/23/2012,9
6/24/2012,12
6/25/2012,32
6/26/2012,35
6/27/2012,40
6/28/2012,33
6/29/2012,26
6/30/2012,11
7/1/2012,11
7/2/2012,17
7/3/2012,22
7/4/2012,28
7/5/2012,22
7/6/2012,24
7/7/2012,11
7/15/2012,9
7/16/2012,41
7/17/2012,33
7/18/2012,17
7/19/2012,29
7/20/2012,21
7/21/2012,8
7/22/2012,9
7/23/2012,30
7/24/2012,31
7/25/2012,25
7/26/2012,43
7/27/2012,11
7/28/2012,18
7/29/2012,7
7/30/2012,20
7/31/2012,22
8/1/2012,37
8/2/2012,19
8/3/2012,20
8/4/2012,16
8/5/2012,24
8/6/2012,153
8/7/2012,151
8/8/2012,35
8/9/2012,36
8/10/2012,51
8/11/2012,20
8/12/2012,10
8/13/2012,42
8/14/2012,42
8/15/2012,55
8/16/2012,20
8/17/2012,18
8/18/2012,31
8/19/2012,23
8/20/2012,30
8/21/2012,45
8/22/2012,15
8/23/2012,41
8/24/2012,38
8/25/2012,17
8/26/2012,25
8/27/2012,36
8/28/2012,48
8/29/2012,30
8/30/2012,25
8/31/2012,29
9/1/2012,26
9/2/2012,23
9/3/2012,9
9/4/2012,62
9/5/2012,36
9/6/2012,61
9/7/2012,51
9/8/2012,18
9/9/2012,17
9/10/2012,40
9/11/2012,31
9/12/2012,59
9/13/2012,48
9/14/2012,28
9/15/2012,17
