date,US
1/1/2012,722
1/2/2012,931
1/3/2012,1501
1/4/2012,1475
1/5/2012,1513
1/6/2012,1235
1/7/2012,705
1/8/2012,840
1/9/2012,1365
1/10/2012,1415
1/11/2012,1349
1/12/2012,1459
1/13/2012,1212
1/14/2012,662
1/15/2012,656
1/16/2012,1117
1/17/2012,1412
1/18/2012,1394
1/19/2012,1415
1/20/2012,1085
1/21/2012,903
1/22/2012,755
1/23/2012,1524
1/24/2012,1504
1/25/2012,1386
1/26/2012,1374
1/27/2012,1134
1/28/2012,824
1/29/2012,810
1/30/2012,1404
1/31/2012,1468
2/1/2012,1377
2/2/2012,1308
2/3/2012,1089
2/4/2012,614
2/5/2012,653
2/6/2012,1494
2/7/2012,1395
2/8/2012,1570
2/9/2012,1369
2/10/2012,1164
2/11/2012,818
2/12/2012,1050
2/13/2012,1789
2/14/2012,1592
2/15/2012,1781
2/16/2012,1786
2/17/2012,1303
2/18/2012,864
2/19/2012,939
2/20/2012,1863
2/21/2012,1914
2/22/2012,1786
2/23/2012,1601
2/24/2012,1436
2/25/2012,1004
2/26/2012,1005
2/27/2012,1863
2/28/2012,1849
2/29/2012,1808
3/1/2012,1577
3/2/2012,1508
3/3/2012,915
3/4/2012,1102
3/5/2012,1962
3/6/2012,1811
3/7/2012,1888
3/8/2012,1801
3/9/2012,1662
3/10/2012,932
3/11/2012,908
3/12/2012,1893
3/13/2012,1705
3/14/2012,1661
3/15/2012,1444
3/16/2012,1427
3/17/2012,728
3/18/2012,918
3/19/2012,1643
3/20/2012,1491
3/21/2012,1360
3/22/2012,1467
3/23/2012,956
3/24/2012,698
3/25/2012,739
3/26/2012,1312
3/27/2012,1328
3/28/2012,1164
3/29/2012,1036
3/30/2012,890
3/31/2012,608
4/1/2012,645
4/2/2012,1101
4/3/2012,1023
4/4/2012,1090
4/5/2012,965
4/6/2012,910
4/7/2012,527
4/8/2012,620
4/9/2012,1162
4/10/2012,1162
4/11/2012,1268
4/12/2012,1017
4/13/2012,900
4/14/2012,576
4/15/2012,587
4/16/2012,1173
4/17/2012,1005
4/18/2012,1084
4/19/2012,931
4/20/2012,886
4/21/2012,418
4/22/2012,565
4/23/2012,1050
4/24/2012,984
4/25/2012,954
4/26/2012,929
4/27/2012,768
4/28/2012,427
4/29/2012,541
4/30/2012,995
5/1/2012,943
5/2/2012,940
5/3/2012,936
5/4/2012,733
5/5/2012,372
5/6/2012,481
5/7/2012,891
5/8/2012,864
5/9/2012,835
5/10/2012,798
5/11/2012,611
5/12/2012,340
5/13/2012,461
5/14/2012,932
5/15/2012,858
5/16/2012,909
5/17/2012,850
