date,US
1/3/2012,29.19199826
1/4/2012,28.07590078
1/5/2012,28.19192889
1/6/2012,28.17894026
1/7/2012,27.29932262
1/8/2012,27.77754898
1/9/2012,26.8840843
1/10/2012,26.75066012
1/11/2012,26.49216479
1/12/2012,26.65402765
1/13/2012,26.67443858
1/14/2012,26.42557502
1/15/2012,25.45489529
1/16/2012,24.43461204
1/17/2012,24.36094347
1/18/2012,24.66803894
1/19/2012,24.59995757
1/20/2012,24.8588905
1/21/2012,25.24173985
1/22/2012,24.81591024
1/23/2012,26.33465138
1/24/2012,26.96555522
1/25/2012,26.83695477
1/26/2012,26.7923148
1/27/2012,25.85584466
1/28/2012,25.71359182
1/29/2012,25.52773067
1/30/2012,25.81397961
1/31/2012,26.114226
2/1/2012,26.26918912
2/2/2012,26.18864421
2/3/2012,25.72829728
2/4/2012,25.15264899
2/5/2012,24.15407343
2/6/2012,25.36704546
2/7/2012,25.40368053
2/8/2012,26.57780199
2/9/2012,26.75906013
2/10/2012,26.55515029
2/11/2012,27.17305166
2/12/2012,26.87845316
2/13/2012,27.94910227
2/14/2012,28.73730804
2/15/2012,29.37257907
2/16/2012,30.08793472
2/17/2012,29.9559846
2/18/2012,29.35745592
2/19/2012,28.87070831
2/20/2012,29.21706456
2/21/2012,30.60220395
2/22/2012,30.97960753
2/23/2012,31.12962371
2/24/2012,30.07602463
2/25/2012,29.69850113
2/26/2012,29.90669854
2/27/2012,29.72488631
2/28/2012,29.70400544
2/29/2012,28.81224197
3/1/2012,28.04464195
3/2/2012,28.02178019
3/3/2012,27.62460086
3/4/2012,27.94284097
3/5/2012,29.5068114
3/6/2012,29.83885067
3/7/2012,30.57113346
3/8/2012,30.94021295
3/9/2012,30.86184881
3/10/2012,30.2987565
3/11/2012,29.83576608
3/12/2012,30.02446126
3/13/2012,30.20069313
3/14/2012,30.42664719
3/15/2012,30.63550883
3/16/2012,30.79739674
3/17/2012,29.78721793
3/18/2012,29.36844572
3/19/2012,28.53313972
3/20/2012,27.00339515
3/21/2012,26.96873957
3/22/2012,26.6045681
3/23/2012,25.54407365
3/24/2012,25.33779946
3/25/2012,25.34870405
3/26/2012,24.6889361
3/27/2012,25.39713649
3/28/2012,25.0674283
3/29/2012,24.05945547
3/30/2012,23.51541233
3/31/2012,22.20718916
4/1/2012,21.49477808
4/2/2012,22.09857041
4/3/2012,22.38298475
4/4/2012,22.99264856
4/5/2012,23.31002201
4/6/2012,23.7233001
4/7/2012,23.74011034
4/8/2012,23.86149221
4/9/2012,24.33221812
4/10/2012,24.37603059
4/11/2012,24.90860859
4/12/2012,24.37672353
4/13/2012,23.69133715
4/14/2012,23.12754316
4/15/2012,21.7147042
4/16/2012,21.38496866
4/17/2012,20.94819383
4/18/2012,20.84981057
4/19/2012,21.18548134
4/20/2012,20.88226054
4/21/2012,20.5844092
4/22/2012,20.62980646
4/23/2012,20.22958192
4/24/2012,20.01749901
4/25/2012,20.26280715
4/26/2012,19.99335529
4/27/2012,19.79042949
4/28/2012,19.21567566
4/29/2012,19.03910684
4/30/2012,18.96445625
5/1/2012,18.45508276
5/2/2012,18.79118621
5/3/2012,18.95853289
5/4/2012,19.05097323
5/5/2012,19.61056187
5/6/2012,19.47752138
5/7/2012,19.20346759
5/8/2012,18.6897845
5/9/2012,18.97824316
5/10/2012,18.79060494
5/11/2012,18.8316969
5/12/2012,18.955556
5/13/2012,19.03994655
5/14/2012,19.86595526
5/15/2012,19.78909379
5/16/2012,19.6686623
5/17/2012,19.3978855
5/18/2012,18.52820603
5/19/2012,18.32978706
5/20/2012,17.37322806
5/21/2012,16.86597997
5/22/2012,17.50723402
5/23/2012,17.71927269
5/24/2012,18.01111551
5/25/2012,17.99684024
5/26/2012,17.19299843
5/27/2012,16.73676764
5/28/2012,16.87040953
5/29/2012,16.96278524
5/30/2012,17.35007522
5/31/2012,16.14941626
6/1/2012,15.38914498
6/2/2012,14.69790655
6/3/2012,13.90008872
6/4/2012,14.63924232
6/5/2012,15.45025873
6/6/2012,15.56036249
6/7/2012,15.89804835
6/8/2012,15.61163497
6/9/2012,15.24431089
6/10/2012,15.4855381
6/11/2012,14.85154603
6/12/2012,14.91213852
6/13/2012,15.36429092
6/14/2012,15.42070587
6/15/2012,15.50607862
6/16/2012,15.32870417
6/17/2012,14.80902471
6/18/2012,13.97468332
6/19/2012,13.95779193
6/20/2012,14.13267258
6/21/2012,14.43734248
6/22/2012,15.96036552
6/23/2012,16.31298435
6/24/2012,16.64179561
6/25/2012,16.90159369
6/26/2012,15.35521063
6/27/2012,14.99741225
6/28/2012,14.80456354
6/29/2012,13.93769197
6/30/2012,13.38262483
7/1/2012,12.46915648
7/2/2012,11.95669668
7/3/2012,12.3095887
7/4/2012,12.27941627
7/5/2012,12.56627189
7/6/2012,12.24398525
7/7/2012,11.94429427
7/15/2012,11.72446725
7/16/2012,11.05624478
7/17/2012,11.12712559
7/18/2012,10.82735628
7/19/2012,10.94657032
7/20/2012,10.89292923
7/21/2012,10.68800621
