date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1/3/2012,30.93231634,28.74030181,28.77277546,29.43148072,27.44630724,31.09085525,30.93517187,29.99125623,30.04657721,28.05448966,28.10565215,29.59806339,28.29233862,28.54860251,30.06829053,29.29874281,30.15175971,30.27034439,28.40534585,29.80051902,32.80210809,28.88000309,30.14556144,30.58847924,28.36723627,28.34012381,28.6012144,30.33312604,30.5347895,30.44072971,30.55640256,29.97775103,27.65073297,29.47882908,29.12003273,31.05252067,29.36152506,28.40814969,31.29702,27.18927764,30.26077629,27.02045182,29.34329419,29.05464922,27.51435635,29.52822592,30.79894487,30.91204829,27.8758426,29.16149751,28.28655835,29.63354398
1/4/2012,30.3942689,27.10508075,27.98925233,28.64847517,25.52919624,29.74019873,30.72176761,29.06976817,28.18282882,25.85339323,26.63534983,27.98287896,26.73985776,26.07799098,29.30168692,28.63194775,31.21629047,31.27818722,29.94921395,26.45825407,31.52437363,28.76506666,30.08414008,28.49886765,28.3836911,26.56498677,27.60065579,29.23868823,30.06846466,31.57364682,28.6975272,27.17201428,25.95599294,28.99418721,29.58968765,31.10042545,27.43855077,26.05059321,30.72182098,26.11074615,30.18845271,24.97501434,29.0859719,27.11710137,26.44063577,26.84079203,31.5214861,31.43578774,25.6749617,29.34783303,26.55403306,29.03444814
1/5/2012,29.44267192,26.8941185,27.50044042,28.54538145,26.91239624,30.29845902,30.31391464,29.59489418,28.57390187,24.90897839,27.40858849,27.3383055,27.80361178,26.15352764,28.88832405,28.26468926,30.11400516,30.66782373,28.83937584,26.42772962,30.12049839,28.54051625,30.33238339,28.54770851,29.09756452,26.82665299,28.06776905,27.14566214,29.28873838,30.45027852,28.75485237,27.71769642,26.67639921,28.35491126,30.23143059,31.56093708,27.49992874,25.79161167,30.2050016,26.37666976,29.21247698,25.90791279,29.20843266,28.25162977,26.62837643,27.65198748,31.09337869,29.13275356,26.19622149,28.28905032,26.66493744,28.75879898
1/6/2012,28.33990746,26.69163635,27.46095243,27.79679916,27.99483412,28.60988204,30.27027171,28.63163505,27.73192179,25.21253801,27.23671298,26.54299525,27.29099439,25.85939162,28.6348325,26.76412076,30.46767279,30.44023543,28.75371964,24.98751543,31.6386173,27.50350078,29.38934331,28.29124648,30.15172515,26.65041572,27.52672236,27.349066,28.25528097,31.22402694,28.09482166,28.68522948,27.65123589,27.25175603,29.48359597,32.45574268,26.89793657,24.27607616,30.18826483,26.20335372,28.34189544,25.53119648,28.59516945,28.69966702,26.08724924,26.04466662,29.54082739,27.54914158,26.87581266,28.26098977,26.22033476,27.74103126
1/7/2012,27.20613913,26.93907771,26.90545032,26.93981757,26.95113748,27.07603091,27.59127045,27.39562256,27.18910752,25.57044418,27.12790441,26.84878372,27.31058152,26.83569691,27.55054403,26.51254202,27.94162915,27.70808638,27.62414468,25.97804012,27.97125102,26.96247003,27.15582273,27.69894044,28.08290152,26.83202677,27.02419235,26.97508622,26.82148453,28.38148383,26.58956058,27.62212694,27.51514176,26.88110624,28.18967818,28.76507765,27.10351622,26.03720178,28.31285157,26.93164338,27.17273426,27.1359706,27.40929259,27.48635958,27.19550232,26.57393291,28.08598206,27.14173415,26.87894619,27.20302223,26.6451134,27.19742663
1/8/2012,27.7892166,27.84110066,27.86715156,27.63375542,27.61073635,27.5668302,27.74550267,27.69075783,28.1151153,27.84886004,27.80171469,27.81583855,28.05470144,27.81103339,27.74060533,27.95414162,27.81445496,27.83028849,27.73913054,27.68300755,27.78542926,27.94132423,27.80844449,27.82612264,27.80815466,28.03394586,27.95999182,27.87778302,27.86887054,27.81184496,27.60310112,27.71159829,27.76569762,27.7800039,27.81603864,27.91482601,27.91072466,27.88061356,27.88452485,28.11303949,27.86983832,27.77510353,27.91560746,27.76448559,27.60862449,27.80517952,27.78255622,27.79823801,27.72500505,27.91482263,27.92602362,28.18558818
1/9/2012,25.80172149,26.0737539,27.6814357,25.43231517,24.21092824,26.20027986,25.99790993,25.50528032,26.70676433,26.69678984,26.75145145,26.07186622,27.86756882,27.32183602,27.14352599,26.11155451,27.62584799,28.34285431,26.25699232,25.45958875,26.9496507,27.17468772,26.16253585,28.71520033,27.94803565,27.29176026,27.6415215,30.11893083,27.16474298,28.14311481,26.95997603,27.35527784,27.55366076,25.3398924,26.92917452,29.11185702,27.38783347,25.93420336,28.33863192,28.34508734,27.46453385,27.78609252,26.85195629,29.12209448,25.86191208,24.92334549,26.62705858,27.48415259,27.13155612,28.19508124,27.09104472,26.63308641
1/10/2012,26.12926766,24.21939991,27.98686859,24.61139799,22.38898331,26.040889,25.86019857,25.4094413,26.76940971,25.46169325,25.47935899,26.23713836,28.98204491,27.58818904,27.64244542,25.98864484,26.67275907,30.327762,24.56367466,27.35953497,26.19920374,27.76091111,26.77295792,31.58921401,29.11495581,26.31825994,27.44109881,31.57985282,26.44794796,27.47664804,28.33451094,28.53385989,25.77197527,24.22783549,27.32755888,28.59408692,27.77197617,25.25120805,28.87797972,26.8340985,28.99832398,26.81352229,26.67537475,30.23139947,25.23214583,24.53955603,26.65940081,27.25593045,27.78940556,27.51636183,26.41136303,26.51338656
1/11/2012,26.00760726,24.36318458,27.78383814,24.56574818,23.56181736,25.51454184,26.22714896,26.25885007,26.29887434,24.76330997,25.00622851,25.8586238,28.44319005,26.12040383,29.12165963,28.03163543,26.73331182,29.9917291,25.04780299,27.17446339,26.54421988,28.20037322,25.90307697,30.12352247,27.27059223,26.39094019,27.17123097,29.28825173,26.81505627,25.31043163,29.04330223,28.6109408,25.83563722,24.20197004,28.9516957,28.12229015,27.47246401,26.54130077,28.32711052,26.19497174,28.80859694,26.55768622,26.0648636,29.21580656,23.40910143,24.8052844,27.34252775,27.29983759,27.49421752,27.06212454,25.90412708,26.36436245
1/12/2012,26.4520929,26.32220323,27.60676511,25.79615048,23.97659426,25.94311651,26.80057254,26.80597313,26.58384147,25.04874702,24.88809173,25.97001792,28.39745159,26.66358576,28.50678319,29.43604876,27.37265048,30.34346123,25.19954767,26.38882729,27.39186488,28.01403991,27.4946356,28.91018985,27.63576252,26.60605933,27.69893154,29.20518427,26.12408945,26.04652492,28.42200663,28.64194415,26.68338343,24.52863816,28.67707252,27.56133428,26.71721654,26.33414508,28.90009497,27.26208077,28.51874425,26.90680999,27.02202612,28.59031868,23.50565818,24.88319093,26.53920141,27.63925841,28.45302042,26.44089,26.11377027,26.21080962
